iteration,solved,remaining,budget,total_expanded,elapsed_seconds
1, 906, 94, 2000, 389105, 752.706176 
2, 78, 16, 2000, 457528, 881.551291 
3, 9, 7, 2000, 482015, 927.280268 
4, 0, 7, 2000, 496015, 953.210593 
4, 5, 2, 4000, 513302, 984.668138 
5, 1, 1, 4000, 520691, 997.840436 
6, 0, 1, 4000, 524691, 1004.986528 
6, 0, 1, 8000, 532691, 1019.034705 
6, 1, 0, 16000, 546163, 1042.569624 
